"","fecha","iteracion","Cs","Más.Madrid","PP","PSOE","Unidas.Podemos","Vox","DCH","IZQ","esc.dif","ganador"
"1",2021-04-11,5942,9,21,63,33,10,0,72,64,8,"Derecha"
"2",2021-04-11,6139,10,17,57,35,0,17,84,52,32,"Derecha"
"3",2021-04-11,6985,0,20,56,36,12,12,68,68,0,"Empate"
"4",2021-04-11,4668,0,19,59,30,16,12,71,65,6,"Derecha"
"5",2021-04-11,8753,9,21,60,30,16,0,69,67,2,"Derecha"
"6",2021-04-11,6102,7,17,60,40,0,12,79,57,22,"Derecha"
"7",2021-04-11,8124,9,20,56,33,11,7,72,64,8,"Derecha"
"8",2021-04-11,817,0,16,58,36,7,19,77,59,18,"Derecha"
"9",2021-04-11,6524,0,25,62,35,0,14,76,60,16,"Derecha"
"10",2021-04-11,1422,0,17,64,34,11,10,74,62,12,"Derecha"
"11",2021-04-11,6970,13,12,57,31,15,8,78,58,20,"Derecha"
"12",2021-04-11,1264,10,13,51,34,19,9,70,66,4,"Derecha"
"13",2021-04-11,3131,10,18,47,39,12,10,67,69,-2,"Izquierda"
"14",2021-04-11,6801,0,13,64,33,11,15,79,57,22,"Derecha"
"15",2021-04-11,37,0,18,59,35,14,10,69,67,2,"Derecha"
"16",2021-04-11,5790,0,15,49,43,18,11,60,76,-16,"Izquierda"
"17",2021-04-11,2332,11,15,50,31,16,13,74,62,12,"Derecha"
"18",2021-04-11,3441,0,11,63,35,11,16,79,57,22,"Derecha"
"19",2021-04-11,3449,8,21,57,40,0,10,75,61,14,"Derecha"
"20",2021-04-11,4194,0,22,57,32,11,14,71,65,6,"Derecha"
"21",2021-04-11,731,0,19,49,35,17,16,65,71,-6,"Izquierda"
"22",2021-04-11,3544,7,16,53,33,14,13,73,63,10,"Derecha"
"23",2021-04-11,3434,11,15,52,32,13,13,76,60,16,"Derecha"
"24",2021-04-11,6596,13,19,56,30,7,11,80,56,24,"Derecha"
"25",2021-04-11,2879,8,21,59,29,10,9,76,60,16,"Derecha"
"26",2021-04-11,6730,0,14,65,36,13,8,73,63,10,"Derecha"
"27",2021-04-11,6976,0,18,64,31,10,13,77,59,18,"Derecha"
"28",2021-04-11,5256,8,21,51,29,10,17,76,60,16,"Derecha"
"29",2021-04-11,9226,11,20,51,29,9,16,78,58,20,"Derecha"
"30",2021-04-11,2782,8,13,56,36,11,12,76,60,16,"Derecha"
"31",2021-04-11,4966,0,15,55,37,13,16,71,65,6,"Derecha"
"32",2021-04-11,2686,0,17,59,36,8,16,75,61,14,"Derecha"
"33",2021-04-11,1516,9,16,53,37,11,10,72,64,8,"Derecha"
"34",2021-04-11,2018,0,17,54,42,8,15,69,67,2,"Derecha"
"35",2021-04-11,1339,0,10,63,35,9,19,82,54,28,"Derecha"
"36",2021-04-11,854,7,23,50,33,11,12,69,67,2,"Derecha"
"37",2021-04-11,9109,9,11,64,36,0,16,89,47,42,"Derecha"
"38",2021-04-11,7948,0,19,61,46,10,0,61,75,-14,"Izquierda"
"39",2021-04-11,8887,0,19,65,35,17,0,65,71,-6,"Izquierda"
"40",2021-04-11,3509,8,13,57,39,11,8,73,63,10,"Derecha"
"41",2021-04-11,4332,0,30,56,29,8,13,69,67,2,"Derecha"
"42",2021-04-11,8100,0,17,65,27,17,10,75,61,14,"Derecha"
"43",2021-04-11,7270,11,13,58,40,14,0,69,67,2,"Derecha"
"44",2021-04-11,3436,0,17,60,37,22,0,60,76,-16,"Izquierda"
"45",2021-04-11,5748,0,22,56,35,12,11,67,69,-2,"Izquierda"
"46",2021-04-11,7079,0,17,75,32,0,12,87,49,38,"Derecha"
"47",2021-04-11,9156,9,12,54,29,13,19,82,54,28,"Derecha"
"48",2021-04-11,412,0,19,74,34,0,9,83,53,30,"Derecha"
"49",2021-04-11,5562,0,14,63,36,14,9,72,64,8,"Derecha"
"50",2021-04-11,3097,7,11,53,41,13,11,71,65,6,"Derecha"
"51",2021-04-11,4636,8,14,53,38,9,14,75,61,14,"Derecha"
"52",2021-04-11,5309,0,10,59,41,11,15,74,62,12,"Derecha"
"53",2021-04-11,7264,9,19,51,31,13,13,73,63,10,"Derecha"
"54",2021-04-11,2960,8,20,63,27,10,8,79,57,22,"Derecha"
"55",2021-04-11,722,0,13,64,35,9,15,79,57,22,"Derecha"
"56",2021-04-11,6566,9,14,58,37,9,9,76,60,16,"Derecha"
"57",2021-04-11,4156,10,18,50,31,17,10,70,66,4,"Derecha"
"58",2021-04-11,6538,7,16,58,33,9,13,78,58,20,"Derecha"
"59",2021-04-11,5355,0,21,59,27,11,18,77,59,18,"Derecha"
"60",2021-04-11,8902,10,7,58,38,13,10,78,58,20,"Derecha"
"61",2021-04-11,4932,8,15,60,33,0,20,88,48,40,"Derecha"
"62",2021-04-11,1231,11,14,58,38,0,15,84,52,32,"Derecha"
"63",2021-04-11,5654,11,14,54,37,9,11,76,60,16,"Derecha"
"64",2021-04-11,1210,8,11,56,38,10,13,77,59,18,"Derecha"
"65",2021-04-11,5298,0,24,60,43,0,9,69,67,2,"Derecha"
"66",2021-04-11,9505,7,15,56,35,8,15,78,58,20,"Derecha"
"67",2021-04-11,3305,0,23,55,31,12,15,70,66,4,"Derecha"
"68",2021-04-11,1217,13,13,52,33,16,9,74,62,12,"Derecha"
"69",2021-04-11,6898,8,19,50,33,7,19,77,59,18,"Derecha"
"70",2021-04-11,609,0,9,58,44,12,13,71,65,6,"Derecha"
"71",2021-04-11,6217,0,21,68,33,14,0,68,68,0,"Empate"
"72",2021-04-11,9193,0,23,66,47,0,0,66,70,-4,"Izquierda"
"73",2021-04-11,6936,0,16,61,33,15,11,72,64,8,"Derecha"
"74",2021-04-11,1338,0,21,63,31,8,13,76,60,16,"Derecha"
"75",2021-04-11,8338,0,14,68,36,18,0,68,68,0,"Empate"
"76",2021-04-11,9217,0,22,61,45,0,8,69,67,2,"Derecha"
"77",2021-04-11,8012,0,17,64,28,9,18,82,54,28,"Derecha"
"78",2021-04-11,4283,0,18,59,44,0,15,74,62,12,"Derecha"
"79",2021-04-11,46,9,20,66,31,0,10,85,51,34,"Derecha"
"80",2021-04-11,8293,8,17,65,46,0,0,73,63,10,"Derecha"
"81",2021-04-11,3284,7,16,55,30,13,15,77,59,18,"Derecha"
"82",2021-04-11,2710,0,14,54,36,14,18,72,64,8,"Derecha"
"83",2021-04-11,9353,0,20,54,37,14,11,65,71,-6,"Izquierda"
"84",2021-04-11,7377,0,19,62,33,11,11,73,63,10,"Derecha"
"85",2021-04-11,5596,0,18,58,32,11,17,75,61,14,"Derecha"
"86",2021-04-11,7647,8,12,67,37,0,12,87,49,38,"Derecha"
"87",2021-04-11,9911,0,21,56,31,14,14,70,66,4,"Derecha"
"88",2021-04-11,7023,0,19,63,34,10,10,73,63,10,"Derecha"
"89",2021-04-11,5253,0,12,60,44,8,12,72,64,8,"Derecha"
"90",2021-04-11,7755,0,12,71,39,14,0,71,65,6,"Derecha"
"91",2021-04-11,7999,8,13,57,33,16,9,74,62,12,"Derecha"
"92",2021-04-11,9003,0,10,67,32,9,18,85,51,34,"Derecha"
"93",2021-04-11,7537,0,16,65,31,13,11,76,60,16,"Derecha"
"94",2021-04-11,9311,9,21,51,31,8,16,76,60,16,"Derecha"
"95",2021-04-11,5568,11,19,52,31,11,12,75,61,14,"Derecha"
"96",2021-04-11,5770,8,14,53,32,18,11,72,64,8,"Derecha"
"97",2021-04-11,2731,0,17,56,31,15,17,73,63,10,"Derecha"
"98",2021-04-11,2437,8,22,59,34,13,0,67,69,-2,"Izquierda"
"99",2021-04-11,6958,0,17,68,35,0,16,84,52,32,"Derecha"
"100",2021-04-11,354,11,21,53,36,0,15,79,57,22,"Derecha"
